"canonical_product_id","name","shop","date","original_price","promotion_price","match_status"
"prod_03ac60309d251b00","Набор подарочный M&M'S & FRIENDS Снова в школу, карандаш , 116г","lenta","2026-09-17 14:43:29.554",252.69,169.99,"provisional"
"prod_03ac60309d251b00","Набор подарочный M&M'S & FRIENDS Снова в школу, карандаш , 116г","lenta","2026-09-17 14:54:43.632",252.69,169.99,"provisional"
"prod_03ac60309d251b00","Набор подарочный M&M'S & FRIENDS Снова в школу, карандаш , 116г","lenta","2026-09-17 15:06:02.680",252.69,169.99,"provisional"
"prod_03ac60309d251b00","Набор подарочный M&M'S & FRIENDS Снова в школу, карандаш , 116г","lenta","2026-09-17 15:17:23.670",252.69,169.99,"provisional"
"prod_03ac60309d251b00","Набор подарочный M&M'S & FRIENDS Снова в школу, карандаш , 116г","lenta","2026-09-17 15:28:37.520",252.69,169.99,"provisional"
"prod_03ac60309d251b00","Набор подарочный M&M'S & FRIENDS Снова в школу, карандаш , 116г","lenta","2026-09-17 16:37:21.128",252.69,169.99,"provisional"
"prod_045c026204368467","Сушильная машина Candy CSOE C10DG-07","holodilnik","2026-09-17 15:05:38.922",45999,41399,"provisional"
"prod_045c026204368467","Сушильная машина Candy CSOE C10DG-07","holodilnik","2026-09-17 15:15:40.449",45999,41399,"provisional"
"prod_045c026204368467","Сушильная машина Candy CSOE C10DG-07","holodilnik","2026-09-17 15:25:41.591",45999,41399,"provisional"
"prod_045c026204368467","Сушильная машина Candy CSOE C10DG-07","holodilnik","2026-09-17 16:33:31.776",45999,41399,"provisional"
"prod_045c026204368467","Сушильная машина Candy CSOE C10DG-07","holodilnik","2026-09-17 16:43:32.578",45999,41399,"provisional"
"prod_04b19f1beb03ccbb","Тушь для ресниц `LUXVISAGE` XXL суперобъем, эффект накладных ресниц (черная)","podruzhka","2026-09-17 15:05:41.608",527,233,"provisional"
"prod_04b19f1beb03ccbb","Тушь для ресниц `LUXVISAGE` XXL суперобъем, эффект накладных ресниц (черная)","podruzhka","2026-09-17 15:15:47.450",527,233,"provisional"
"prod_04b19f1beb03ccbb","Тушь для ресниц `LUXVISAGE` XXL суперобъем, эффект накладных ресниц (черная)","podruzhka","2026-09-17 15:25:51.639",527,233,"provisional"
"prod_04b19f1beb03ccbb","Тушь для ресниц `LUXVISAGE` XXL суперобъем, эффект накладных ресниц (черная)","podruzhka","2026-09-17 16:33:44.878",527,233,"provisional"
