group,products,price_states,observations,discount_mean,discount_median,discount_p25,discount_p75,discount_p95,discount_max,price_median
"('prod_648d04b3570c1067', 'podruzhka')",3,3,16,66.84,73.86,61.27,73.86,73.86,73.86,549.99
"('prod_9265205e23e5e3e9', 'iledebeaute')",11,11,44,45.37,45.01,35.0,54.44,72.89,90.0,2185.0
"('prod_3957c8186b2f7154', 'lenta')",1,1,6,44.12,44.12,44.12,44.12,44.12,44.12,199.99
"('prod_602bc172f7aca7a4', 'mvideo')",2,2,14,41.04,41.04,40.08,42.01,42.78,42.97,4520.5
"('prod_948ca9a1e2f772d6', 'iledebeaute')",3,3,14,37.22,40.01,36.37,40.03,40.04,40.05,1018.0
"('prod_ad82533ff733df92', 'iledebeaute')",14,14,56,43.94,39.07,35.23,56.23,73.33,82.95,1146.5
"('prod_754459bb5e9acffc', 'magnit')",3,3,21,31.73,35.07,30.03,35.1,35.13,35.14,449.99
"('prod_9540ca69ed79ba3c', 'mvideo')",3,3,21,27.8,35.06,19.62,39.61,43.25,44.16,2792.0
"('prod_957e3455206ef383', 'mvideo')",2,2,14,34.68,34.68,21.75,47.61,57.96,60.54,2728.5
"('prod_65050a5317e73975', 'mvideo')",4,4,28,37.93,32.53,30.73,39.72,55.04,58.87,616.5
"('prod_6fae1d12871bd861', 'iledebeaute')",1,1,4,30.0,30.0,30.0,30.0,30.0,30.0,2240.0
"('prod_ab32afea7ec88242', 'iledebeaute')",3,3,12,28.33,29.98,24.99,32.5,34.51,35.01,2385.0
"('prod_b3d62f832d62098d', 'magnit')",10,10,62,27.48,26.0,22.4,37.76,41.54,41.54,317.49
"('prod_b12b5621b7e3f2e3', 'mvideo')",6,6,42,33.1,22.24,20.38,44.98,69.41,75.13,6741.5
"('prod_6d4ca4b35f51aeed', 'lenta')",3,3,17,18.01,18.17,17.42,18.71,19.14,19.25,99.99
"('prod_af7525fc331e0488', 'holodilnik')",17,17,79,18.87,16.44,8.85,25.15,35.34,39.06,28699.0
"('prod_a718280b1b4d1084', 'mvideo')",1,1,7,9.81,9.81,9.81,9.81,9.81,9.81,901.0
"('prod_5ce5cda4f9a38006', 'lenta')",4,4,22,5.04,5.03,5.02,5.05,5.07,5.08,149.99
"('prod_b24e820895125a81', 'mvideo')",3,3,21,7.02,4.29,4.29,8.39,11.68,12.5,335.0
