canonical_product_id,shop,name,category,group,n_price_states,n_episodes,price_first,price_last,discount_now,discount_max,suspicion_score,level,flags,notes,evidence
prod_03ac60309d251b00,lenta,"Набор подарочный M&M'S & FRIENDS Снова в школу, карандаш , 116г",косметика,подарочные наборы,1,1,169.99,169.99,32.73,32.73,0.0,ok,,psych_price|single_state,{}
prod_045c026204368467,holodilnik,Сушильная машина Candy CSOE C10DG-07,электроника,бытовая техника,1,1,41399.0,41399.0,10.0,10.0,0.0,ok,,psych_price|single_state,{}
prod_04b19f1beb03ccbb,podruzhka,"Тушь для ресниц `LUXVISAGE` XXL суперобъем, эффект накладных ресниц (черная)",косметика,декоративная косметика,1,1,233.0,233.0,55.79,55.79,0.0,ok,,single_state,{}
prod_06dce203f1fba742,podruzhka,Тонер для лица `CELIMAX` DUAL BARRIER кремовый с комплексом керамидов (укрепляющий и питательный) 150 мл,косметика,уход за лицом,1,1,1180.0,1180.0,53.54,53.54,0.0,ok,,single_state,{}
prod_097c0e99025cb27c,magnit,"Скраб для тела Synergetic карамельное яблоко и ваниль, 300 мл",косметика,уход за телом,1,1,369.99,369.99,26.0,26.0,0.0,ok,,psych_price|single_state,{}
prod_0d2ec11672692d85,podruzhka,Мицеллярная вода `EVELINE` FACEMED+ 3 в 1 гиалуроновая 750 мл,косметика,уход за лицом,1,1,464.0,464.0,35.01,35.01,0.0,ok,,single_state,{}
prod_115fd3949eb2ff10,podruzhka,Сыворотка для лица `CELIMAX` THE VITA A с ретинолом и микроиглами (подтягивающая) 30 мл,косметика,уход за лицом,1,1,1116.0,1116.0,62.68,62.68,0.0,ok,,single_state,{}
prod_151fa2fa6821276c,holodilnik,Стиральная машина Stinol WSTS 510 B,электроника,бытовая техника,1,1,20299.0,20299.0,15.39,15.39,0.0,ok,,psych_price|single_state,{}
prod_15734fa5f632edae,mvideo,Шнек (300х800 мм) для бензобура Gigant 12-010,прочее,авто и мото,1,1,9547.0,9547.0,23.2,23.2,0.0,ok,,single_state,{}
prod_15d9f45dda95469f,podruzhka,Пенка для умывания `MIXIT` `LAB` WOW MOISTURE с мочевиной и гиалуроновой кислотой (экстраувляжняющая) 200 мл,косметика,уход за лицом,1,1,287.0,287.0,46.65,46.65,0.0,ok,,single_state,{}
prod_17100641c1eedf94,magnit,"Чипсы Lays, в ассортименте, 225 г",продукты,снеки и сухие завтраки,1,1,244.99,244.99,12.5,12.5,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_1a3ca9025ba79f64,lenta,"Гель для душа SOKOLOV Black Pepper&Tonka , 400мл",косметика,уход за телом,1,1,159.99,159.99,41.54,41.54,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_1ce85aaf7ae3a9d6,mvideo,"Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598",прочее,авто и мото,1,1,277.0,277.0,52.24,52.24,0.0,ok,,single_state,{}
prod_1d885b0e2585992d,iledebeaute,Карите Набор Маленькие радости,косметика,подарочные наборы,1,1,1706.0,1706.0,40.01,40.01,0.0,ok,,single_state,{}
prod_203c8a6b8f2a2852,mvideo,Килт банный для мужчин Everliness Килт махровый мужской с вышивкой,прочее,хозтовары,1,1,1707.0,1707.0,31.72,31.72,0.0,ok,,single_state,{}
prod_206d158aa149d5f8,podruzhka,Тонер-пэды для лица `DR. ALTHEA` ANASTATICA SKIN CONDITIONING PAD увлажняющие с экстрактом иерихонской розы 65 шт,косметика,уход за лицом,1,1,2679.0,2679.0,15.01,15.01,0.0,ok,,psych_price|single_state,{}
prod_27ddb5693e7ad6b5,lenta,"Паштет шпротный , 160г",продукты,готовая кулинария и консервы,1,1,42.99,42.99,5.08,5.08,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_28af3758572fbd36,magnit,"Скраб для тела Synergetic Эластичность и сияние кожи, сандал и ягоды можжевельника, 300 мл",косметика,уход за телом,1,1,387.99,387.99,22.4,22.4,0.0,ok,,psych_price|single_state,{}
prod_292c0faabb283463,iledebeaute,Sumptuous Extreme Mascara Тушь для ресниц,косметика,декоративная косметика,1,1,3180.0,3180.0,40.0,40.0,0.0,ok,,single_state,{}
prod_2d3521aac6d1ac49,iledebeaute,GOLDEN EYESHADOW PALETTE Палетка теней,косметика,декоративная косметика,1,1,7847.0,7847.0,30.0,30.0,0.0,ok,,single_state,{}
prod_2eca1dfabfaa0852,podruzhka,Пудра для лица `MIXIT` MINERAL POWDER фиксирующая минеральная,косметика,декоративная косметика,1,1,451.0,451.0,53.89,53.89,0.0,ok,,single_state,{}
prod_2fc96355426d7093,lenta,"Салат Филадельфия с филе‑кусочками форели радужной слабосоленой РЕСТО ШИК , 180г",продукты,готовая кулинария и консервы,1,1,129.99,129.99,5.04,5.04,0.0,ok,,psych_price|single_state,{}
prod_33074871efec343b,iledebeaute,NUDE MINI Палетка теней,косметика,декоративная косметика,1,1,2185.0,2185.0,50.0,50.0,0.0,ok,,single_state,{}
prod_350ba040c014fdf1,holodilnik,Стиральная машина Gressel UWC301 белый,электроника,бытовая техника,1,1,22299.0,22299.0,34.41,34.41,0.0,ok,,psych_price|single_state,{}
prod_37c024a322f359f8,podruzhka,Сыворотка для кожи вокруг глаз `AXIS-Y` с гиалуроновой кислотой и комплексом пептидов 10 мл,косметика,уход за лицом,1,1,1177.0,1177.0,57.12,57.12,0.0,ok,,single_state,{}
prod_3957c8186b2f7154,lenta,"Зубная щетка JUICY LAB Magic Brush с ионами серебра, мягкая , 1 шт",косметика,гигиена,1,1,199.99,199.99,44.12,44.12,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_3990e343bc29ca7a,mvideo,Аксессуар для дайвинга DJI Комплект для дайвинга Osmo Action Diving Accessory Kit,прочее,спорт и отдых,1,1,7025.0,7025.0,42.97,42.97,0.0,ok,,deep_discount_for_group|single_state,{}
prod_3af860672ce20643,lenta,"Шампунь для волос SOKOLOV Dark Cherry&Almond, для восстановления , 750мл",косметика,уход за волосами,1,1,549.99,549.99,73.86,73.86,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_3ba7a4f25eb86dba,holodilnik,Стиральная машина Haier HW70-BP12959AE,электроника,бытовая техника,1,1,42499.0,42499.0,16.67,16.67,0.0,ok,,psych_price|single_state,{}
prod_3c135266f5461fc2,podruzhka,Пенка для умывания `CELIMAX` слабокислотная 150 мл,косметика,уход за лицом,1,1,567.0,567.0,68.15,68.15,0.0,ok,,single_state,{}
prod_3d7726d106d507bd,podruzhka,Крем для лица `NSC` ниацинамид глубокое восстановление и сияние кожи с витамином C 120 мл,косметика,уход за лицом,1,1,420.0,420.0,38.14,38.14,0.0,ok,,single_state,{}
prod_41bfbe38feba5250,holodilnik,Стиральная машина Beko WRE6512ZAW,электроника,бытовая техника,1,1,28699.0,28699.0,1.0,1.0,0.0,ok,,psych_price|single_state,{}
prod_41f71a665d573856,mvideo,"Лодочный мотор MARLIN MP 9.9 (15) AMHS, двухтактный, бензиновый",прочее,авто и мото,1,1,122496.0,122496.0,6.63,6.63,0.0,ok,,single_state,{}
prod_4332e8cee8b3ede7,podruzhka,Ампула для лица `COSNORI` PANTHE-SHOT 675 с пантенолом и микроиглами 50 мл,косметика,уход за лицом,1,1,1674.0,1674.0,40.0,40.0,0.0,ok,,single_state,{}
prod_4481a3e65274398c,holodilnik,Стиральная машина Stinol WSTS 610 E,электроника,бытовая техника,1,1,21299.0,21299.0,16.44,16.44,0.0,ok,,psych_price|single_state,{}
prod_45b70ae1eeb2d76e,magnit,"Мармелад жевательный Juuums вкус клубника со сливками, 80 г",продукты,кондитерские изделия,1,1,99.99,99.99,16.67,16.67,0.0,ok,,psych_price|single_state,{}
