category,group,shop,products,median_discount,max_discount,median_price,comparable,discount_rank_in_group
электроника,бытовая техника,mvideo,1,25.15,25.15,2399.0,True,1.0
электроника,бытовая техника,holodilnik,16,15.91,39.06,28749.0,True,2.0
косметика,декоративная косметика,podruzhka,3,53.89,55.79,233.0,True,1.0
косметика,декоративная косметика,iledebeaute,8,40.0,90.0,2835.0,True,2.0
продукты,кондитерские изделия,lenta,2,18.71,19.25,152.49,True,1.0
продукты,кондитерские изделия,magnit,1,16.67,16.67,99.99,True,2.0
косметика,подарочные наборы,iledebeaute,2,40.03,40.05,1362.0,True,1.0
косметика,подарочные наборы,lenta,1,32.73,32.73,169.99,True,2.0
продукты,снеки и сухие завтраки,magnit,1,12.5,12.5,244.99,True,1.0
продукты,снеки и сухие завтраки,mvideo,2,4.29,4.29,402.0,True,2.0
косметика,уход за волосами,lenta,2,73.86,73.86,549.99,True,1.0
косметика,уход за волосами,podruzhka,1,48.67,48.67,271.0,True,2.0
косметика,уход за лицом,podruzhka,13,40.0,82.95,1177.0,True,1.0
косметика,уход за лицом,iledebeaute,1,36.09,36.09,441.0,True,2.0
косметика,уход за телом,lenta,3,41.54,41.54,159.99,True,1.0
косметика,уход за телом,magnit,7,22.4,26.42,369.99,True,2.0
прочее,хозтовары,mvideo,2,45.3,58.87,1405.0,True,1.0
прочее,хозтовары,magnit,2,30.56,33.34,114.99,True,2.0
прочее,авто и мото,mvideo,6,22.24,75.13,6741.5,False,1.0
косметика,гигиена,lenta,1,44.12,44.12,199.99,False,1.0
продукты,готовая кулинария и консервы,lenta,4,5.03,5.08,149.99,False,1.0
прочее,инструменты,mvideo,1,9.81,9.81,901.0,False,1.0
продукты,мороженое,magnit,3,35.07,35.14,449.99,False,1.0
косметика,не распознано,iledebeaute,1,30.0,30.0,2240.0,False,1.0
косметика,парфюмерия,iledebeaute,3,29.98,35.01,2385.0,False,1.0
прочее,спорт и отдых,mvideo,2,41.04,42.97,4520.5,False,1.0
прочее,товары для детей,mvideo,3,35.06,44.16,2792.0,False,1.0
электроника,электроника,mvideo,2,34.68,60.54,2728.5,False,1.0
