shop,category,group,products,episodes,promo_days,median_discount,share_of_shop_products
holodilnik,электроника,бытовая техника,16,16,0.94,15.915,1.0
iledebeaute,косметика,декоративная косметика,8,8,0.48,40.0,0.533
iledebeaute,косметика,парфюмерия,3,3,0.18,29.98,0.2
iledebeaute,косметика,подарочные наборы,2,2,0.12,40.03,0.133
iledebeaute,косметика,не распознано,1,1,0.06,30.0,0.067
iledebeaute,косметика,уход за лицом,1,1,0.06,36.09,0.067
lenta,продукты,готовая кулинария и консервы,4,4,0.32,5.035,0.308
lenta,косметика,уход за телом,3,3,0.24,41.54,0.231
lenta,косметика,уход за волосами,2,2,0.16,73.86,0.154
lenta,продукты,кондитерские изделия,2,2,0.16,18.71,0.154
lenta,косметика,гигиена,1,1,0.08,44.12,0.077
lenta,косметика,подарочные наборы,1,1,0.08,32.73,0.077
magnit,косметика,уход за телом,7,7,0.49,22.4,0.5
magnit,продукты,мороженое,3,3,0.24,35.07,0.214
magnit,прочее,хозтовары,2,2,0.16,30.56,0.143
magnit,продукты,кондитерские изделия,1,1,0.08,16.67,0.071
magnit,продукты,снеки и сухие завтраки,1,1,0.08,12.5,0.071
mvideo,прочее,авто и мото,6,6,0.48,22.24,0.316
mvideo,прочее,товары для детей,3,3,0.24,35.06,0.158
mvideo,продукты,снеки и сухие завтраки,2,2,0.16,4.29,0.105
mvideo,прочее,спорт и отдых,2,2,0.16,41.04,0.105
mvideo,прочее,хозтовары,2,2,0.16,45.295,0.105
mvideo,электроника,электроника,2,2,0.16,34.675,0.105
mvideo,прочее,инструменты,1,1,0.08,9.81,0.053
mvideo,электроника,бытовая техника,1,1,0.08,25.15,0.053
podruzhka,косметика,уход за лицом,13,13,0.78,40.0,0.765
podruzhka,косметика,декоративная косметика,3,3,0.18,53.89,0.176
podruzhka,косметика,уход за волосами,1,1,0.06,48.67,0.059
