canonical_product_id,name,shop,category,group,episode_id,first_seen,last_seen,duration_hours,n_obs,original_price,promotion_price,discount_pct,saving
prod_045c026204368467,Сушильная машина Candy CSOE C10DG-07,holodilnik,электроника,бытовая техника,2,2026-09-17 15:05:38.922,2026-09-17 16:43:32.578,1.63,5,45999.0,41399.0,10.0,4600.0
prod_151fa2fa6821276c,Стиральная машина Stinol WSTS 510 B,holodilnik,электроника,бытовая техника,8,2026-09-17 16:33:31.796,2026-09-17 16:43:32.602,0.17,2,23990.0,20299.0,15.39,3691.0
prod_350ba040c014fdf1,Стиральная машина Gressel UWC301 белый,holodilnik,электроника,бытовая техника,24,2026-09-17 15:05:38.992,2026-09-17 16:43:32.607,1.63,5,33999.0,22299.0,34.41,11700.0
prod_3ba7a4f25eb86dba,Стиральная машина Haier HW70-BP12959AE,holodilnik,электроника,бытовая техника,29,2026-09-17 15:05:38.979,2026-09-17 16:43:32.596,1.63,5,50999.0,42499.0,16.67,8500.0
prod_41bfbe38feba5250,Стиральная машина Beko WRE6512ZAW,holodilnik,электроника,бытовая техника,32,2026-09-17 15:05:38.940,2026-09-17 16:43:32.584,1.63,5,28990.0,28699.0,1.0,291.0
prod_4481a3e65274398c,Стиральная машина Stinol WSTS 610 E,holodilnik,электроника,бытовая техника,35,2026-09-17 15:05:38.988,2026-09-17 16:43:32.605,1.63,5,25490.0,21299.0,16.44,4191.0
prod_607ae73404b90a7f,Стиральная машина Stinol WSTU 410 B,holodilnik,электроника,бытовая техника,51,2026-09-17 15:05:38.985,2026-09-17 16:43:32.603,1.63,5,22490.0,20499.0,8.85,1991.0
prod_6e5d8b4717e75beb,Стиральная машина Samsung WW60AG4S00CELD,holodilnik,электроника,бытовая техника,59,2026-09-17 16:33:31.792,2026-09-17 16:43:32.598,0.17,2,36990.0,34399.0,7.0,2591.0
prod_806189b4ec6b9264,Стиральная машина Candy Aquamatic Evo AQUE 1043D-07,holodilnik,электроника,бытовая техника,67,2026-09-17 15:05:39.007,2026-09-17 16:43:32.615,1.63,5,37999.0,29699.0,21.84,8300.0
prod_82bc7653e01f6c78,Стиральная машина Haier HW60-BP12919A,holodilnik,электроника,бытовая техника,68,2026-09-17 15:05:39.002,2026-09-17 16:43:32.613,1.63,5,43999.0,29199.0,33.64,14800.0
prod_9556119bda12f6fb,Стиральная машина Indesit IWSB 5105,holodilnik,электроника,бытовая техника,77,2026-09-17 15:05:38.937,2026-09-17 16:43:32.583,1.63,5,26490.0,24999.0,5.63,1491.0
prod_9ba3127f17ea5273,Стиральная машина Candy Smart Pro CSO34 106T1/2-07,holodilnik,электроника,бытовая техника,80,2026-09-17 15:05:38.996,2026-09-17 16:43:32.610,1.63,5,30999.0,23099.0,25.48,7900.0
prod_9cc6e469f8f36c55,Стиральная машина LG F2V3GS3W,holodilnik,электроника,бытовая техника,81,2026-09-17 15:05:38.972,2026-09-17 16:43:32.591,1.63,5,64890.0,53783.0,17.12,11107.0
prod_a136c0a7fa50949c,Стиральная машина Indesit BWSA 6109 WWV,holodilnik,электроника,бытовая техника,83,2026-09-17 15:05:39.014,2026-09-17 15:25:41.634,0.33,3,30990.0,30499.0,1.58,491.0
prod_a573c16f414bb51e,Стиральная машина Candy Smart Pro CSO4 107TB1/2-07,holodilnik,электроника,бытовая техника,84,2026-09-17 15:05:38.956,2026-09-17 16:43:32.588,1.63,5,32999.0,28799.0,12.73,4200.0
prod_af7525fc331e0488,Стиральная машина Gressel UBC301 серый,holodilnik,электроника,бытовая техника,91,2026-09-17 15:05:38.998,2026-09-17 16:43:32.611,1.63,5,38230.0,23299.0,39.06,14931.0
prod_1d885b0e2585992d,Карите Набор Маленькие радости,iledebeaute,косметика,подарочные наборы,14,2026-09-17 15:06:08.052,2026-09-17 16:37:09.230,1.52,4,2844.0,1706.0,40.01,1138.0
prod_292c0faabb283463,Sumptuous Extreme Mascara Тушь для ресниц,iledebeaute,косметика,декоративная косметика,19,2026-09-17 15:05:59.507,2026-09-17 16:37:01.840,1.52,4,5300.0,3180.0,40.0,2120.0
prod_2d3521aac6d1ac49,GOLDEN EYESHADOW PALETTE Палетка теней,iledebeaute,косметика,декоративная косметика,20,2026-09-17 15:05:53.936,2026-09-17 16:36:56.930,1.52,4,11210.0,7847.0,30.0,3363.0
prod_33074871efec343b,NUDE MINI Палетка теней,iledebeaute,косметика,декоративная косметика,23,2026-09-17 15:06:02.406,2026-09-17 16:37:04.319,1.52,4,4370.0,2185.0,50.0,2185.0
