canonical_product_id,shop,name,category,group,n_episodes,n_price_states,first_seen,last_seen,promo_hours,median_discount,max_discount,min_price,max_price,observed_hours,promo_days,price_spread_pct
prod_03ac60309d251b00,lenta,"Набор подарочный M&M'S & FRIENDS Снова в школу, карандаш , 116г",косметика,подарочные наборы,1,1,2026-09-17 14:43:29.554,2026-09-17 16:37:21.128,1.9,32.73,32.73,169.99,169.99,1.9,0.08,0.0
prod_045c026204368467,holodilnik,Сушильная машина Candy CSOE C10DG-07,электроника,бытовая техника,1,1,2026-09-17 15:05:38.922,2026-09-17 16:43:32.578,1.63,10.0,10.0,41399.0,41399.0,1.63,0.07,0.0
prod_04b19f1beb03ccbb,podruzhka,"Тушь для ресниц `LUXVISAGE` XXL суперобъем, эффект накладных ресниц (черная)",косметика,декоративная косметика,1,1,2026-09-17 15:05:41.608,2026-09-17 16:33:44.878,1.47,55.79,55.79,233.0,233.0,1.47,0.06,0.0
prod_06dce203f1fba742,podruzhka,Тонер для лица `CELIMAX` DUAL BARRIER кремовый с комплексом керамидов (укрепляющий и питательный) 150 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:41.620,2026-09-17 16:33:44.882,1.47,53.54,53.54,1180.0,1180.0,1.47,0.06,0.0
prod_097c0e99025cb27c,magnit,"Скраб для тела Synergetic карамельное яблоко и ваниль, 300 мл",косметика,уход за телом,1,1,2026-09-17 14:43:16.373,2026-09-17 16:41:13.542,1.97,26.0,26.0,369.99,369.99,1.97,0.08,0.0
prod_0d2ec11672692d85,podruzhka,Мицеллярная вода `EVELINE` FACEMED+ 3 в 1 гиалуроновая 750 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:41.615,2026-09-17 16:33:44.880,1.47,35.01,35.01,464.0,464.0,1.47,0.06,0.0
prod_115fd3949eb2ff10,podruzhka,Сыворотка для лица `CELIMAX` THE VITA A с ретинолом и микроиглами (подтягивающая) 30 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:41.619,2026-09-17 16:33:44.881,1.47,62.68,62.68,1116.0,1116.0,1.47,0.06,0.0
prod_151fa2fa6821276c,holodilnik,Стиральная машина Stinol WSTS 510 B,электроника,бытовая техника,1,1,2026-09-17 16:33:31.796,2026-09-17 16:43:32.602,0.17,15.39,15.39,20299.0,20299.0,0.17,0.01,0.0
prod_15734fa5f632edae,mvideo,Шнек (300х800 мм) для бензобура Gigant 12-010,прочее,авто и мото,1,1,2026-09-17 14:43:17.178,2026-09-17 16:41:24.868,1.97,23.2,23.2,9547.0,9547.0,1.97,0.08,0.0
prod_15d9f45dda95469f,podruzhka,Пенка для умывания `MIXIT` `LAB` WOW MOISTURE с мочевиной и гиалуроновой кислотой (экстраувляжняющая) 200 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:45.835,2026-09-17 16:33:47.596,1.47,46.65,46.65,287.0,287.0,1.47,0.06,0.0
prod_17100641c1eedf94,magnit,"Чипсы Lays, в ассортименте, 225 г",продукты,снеки и сухие завтраки,1,1,2026-09-17 14:43:16.359,2026-09-17 16:41:13.536,1.97,12.5,12.5,244.99,244.99,1.97,0.08,0.0
