canonical_product_id,shop,episode_id,name,category,group,n_price_states,started_at,ended_at,median_discount,max_discount,min_price,max_price,duration_hours,duration_days,price_changed
prod_045c026204368467,holodilnik,2,Сушильная машина Candy CSOE C10DG-07,электроника,бытовая техника,1,2026-09-17 15:05:38.922,2026-09-17 16:43:32.578,10.000217396030353,10.000217396030353,41399.0,41399.0,1.63,0.07,False
prod_9556119bda12f6fb,holodilnik,77,Стиральная машина Indesit IWSB 5105,электроника,бытовая техника,1,2026-09-17 15:05:38.937,2026-09-17 16:43:32.583,5.628539071347682,5.628539071347682,24999.0,24999.0,1.63,0.07,False
prod_41bfbe38feba5250,holodilnik,32,Стиральная машина Beko WRE6512ZAW,электроника,бытовая техника,1,2026-09-17 15:05:38.940,2026-09-17 16:43:32.584,1.0037944118661657,1.0037944118661657,28699.0,28699.0,1.63,0.07,False
prod_a573c16f414bb51e,holodilnik,84,Стиральная машина Candy Smart Pro CSO4 107TB1/2-07,электроника,бытовая техника,1,2026-09-17 15:05:38.956,2026-09-17 16:43:32.588,12.72765841389133,12.72765841389133,28799.0,28799.0,1.63,0.07,False
prod_9cc6e469f8f36c55,holodilnik,81,Стиральная машина LG F2V3GS3W,электроника,бытовая техника,1,2026-09-17 15:05:38.972,2026-09-17 16:43:32.591,17.116658961319153,17.116658961319153,53783.0,53783.0,1.63,0.07,False
prod_3ba7a4f25eb86dba,holodilnik,29,Стиральная машина Haier HW70-BP12959AE,электроника,бытовая техника,1,2026-09-17 15:05:38.979,2026-09-17 16:43:32.596,16.666993470460202,16.666993470460202,42499.0,42499.0,1.63,0.07,False
prod_607ae73404b90a7f,holodilnik,51,Стиральная машина Stinol WSTU 410 B,электроника,бытовая техника,1,2026-09-17 15:05:38.985,2026-09-17 16:43:32.603,8.852823477100936,8.852823477100936,20499.0,20499.0,1.63,0.07,False
prod_4481a3e65274398c,holodilnik,35,Стиральная машина Stinol WSTS 610 E,электроника,бытовая техника,1,2026-09-17 15:05:38.988,2026-09-17 16:43:32.605,16.44174185955276,16.44174185955276,21299.0,21299.0,1.63,0.07,False
prod_350ba040c014fdf1,holodilnik,24,Стиральная машина Gressel UWC301 белый,электроника,бытовая техника,1,2026-09-17 15:05:38.992,2026-09-17 16:43:32.607,34.41277684637784,34.41277684637784,22299.0,22299.0,1.63,0.07,False
prod_9ba3127f17ea5273,holodilnik,80,Стиральная машина Candy Smart Pro CSO34 106T1/2-07,электроника,бытовая техника,1,2026-09-17 15:05:38.996,2026-09-17 16:43:32.610,25.48469305461466,25.48469305461466,23099.0,23099.0,1.63,0.07,False
prod_af7525fc331e0488,holodilnik,91,Стиральная машина Gressel UBC301 серый,электроника,бытовая техника,1,2026-09-17 15:05:38.998,2026-09-17 16:43:32.611,39.055715406748625,39.055715406748625,23299.0,23299.0,1.63,0.07,False
prod_82bc7653e01f6c78,holodilnik,68,Стиральная машина Haier HW60-BP12919A,электроника,бытовая техника,1,2026-09-17 15:05:39.002,2026-09-17 16:43:32.613,33.6371281165481,33.6371281165481,29199.0,29199.0,1.63,0.07,False
prod_806189b4ec6b9264,holodilnik,67,Стиральная машина Candy Aquamatic Evo AQUE 1043D-07,электроника,бытовая техника,1,2026-09-17 15:05:39.007,2026-09-17 16:43:32.615,21.842680070528175,21.842680070528175,29699.0,29699.0,1.63,0.07,False
prod_a136c0a7fa50949c,holodilnik,83,Стиральная машина Indesit BWSA 6109 WWV,электроника,бытовая техника,1,2026-09-17 15:05:39.014,2026-09-17 15:25:41.634,1.5843820587286173,1.5843820587286173,30499.0,30499.0,0.33,0.01,False
