canonical_product_id,shop,name,category,group,score,rank_in_shop,n_episodes,n_price_states,promo_days,promo_time_share,median_discount,max_discount,min_price,max_price,price_spread_pct
prod_af7525fc331e0488,holodilnik,Стиральная машина Gressel UBC301 серый,электроника,бытовая техника,0.775,1.0,1,1,0.07,1.0,39.06,39.06,23299.0,23299.0,0.0
prod_3af860672ce20643,lenta,"Шампунь для волос SOKOLOV Dark Cherry&Almond, для восстановления , 750мл",косметика,уход за волосами,0.775,1.0,1,1,0.08,1.0,73.86,73.86,549.99,549.99,0.0
prod_5406ca549009b3b9,lenta,"Шампунь для волос SOKOLOV Basil&Mandarin, для объема волос , 750 мл",косметика,уход за волосами,0.775,1.0,1,1,0.08,1.0,73.86,73.86,549.99,549.99,0.0
prod_5905c453c9877f8d,magnit,"Мороженое Свитлогорье эскимо с драже «Неон» и взрывной карамелью 12%, 80 г",продукты,мороженое,0.775,1.0,1,1,0.08,1.0,35.14,35.14,119.99,119.99,0.0
prod_5be826adba03ccc0,magnit,"Мороженое Bahroma пломбир шоколадный чизкейк, черное печенье 12%, 320 г",продукты,мороженое,0.774,2.0,1,1,0.08,1.0,35.07,35.07,499.99,499.99,0.0
prod_5a544d6968ced320,magnit,"Мыльница Wellfort, стекло Bohemian",прочее,хозтовары,0.759,3.0,1,1,0.08,1.0,33.34,33.34,99.99,99.99,0.0
prod_350ba040c014fdf1,holodilnik,Стиральная машина Gressel UWC301 белый,электроника,бытовая техника,0.751,2.0,1,1,0.07,1.0,34.41,34.41,22299.0,22299.0,0.0
prod_82bc7653e01f6c78,holodilnik,Стиральная машина Haier HW60-BP12919A,электроника,бытовая техника,0.747,3.0,1,1,0.07,1.0,33.64,33.64,29199.0,29199.0,0.0
prod_50cc7f7a7b86f7ab,magnit,"Стакан для ванной Wellfort, стекло Bohemian",прочее,хозтовары,0.71,4.0,1,1,0.08,1.0,27.78,27.78,129.99,129.99,0.0
prod_9ba3127f17ea5273,holodilnik,Стиральная машина Candy Smart Pro CSO34 106T1/2-07,электроника,бытовая техника,0.704,4.0,1,1,0.07,1.0,25.48,25.48,23099.0,23099.0,0.0
prod_5c6a64bbe3f7cd80,magnit,"Скраб для тела Synergetic антицеллюлитный Пачули и ароматный бергамот, 300 мл",косметика,уход за телом,0.694,5.0,1,1,0.08,1.0,26.0,26.0,369.99,369.99,0.0
prod_097c0e99025cb27c,magnit,"Скраб для тела Synergetic карамельное яблоко и ваниль, 300 мл",косметика,уход за телом,0.694,5.0,1,1,0.08,1.0,26.0,26.0,369.99,369.99,0.0
prod_3957c8186b2f7154,lenta,"Зубная щетка JUICY LAB Magic Brush с ионами серебра, мягкая , 1 шт",косметика,гигиена,0.689,3.0,1,1,0.08,1.0,44.12,44.12,199.99,199.99,0.0
prod_754459bb5e9acffc,magnit,"Мороженое Коровка из Кореновки Фисташковое пралине с макаронс и миндалем 15%, 300 г",продукты,мороженое,0.685,7.0,1,1,0.08,1.0,25.0,25.0,449.99,449.99,0.0
prod_806189b4ec6b9264,holodilnik,Стиральная машина Candy Aquamatic Evo AQUE 1043D-07,электроника,бытовая техника,0.685,5.0,1,1,0.07,1.0,21.84,21.84,29699.0,29699.0,0.0
prod_5730126abeae7fd8,lenta,"Гель для душа SOKOLOV Basil&Mandarin , 400мл",косметика,уход за телом,0.681,4.0,1,1,0.08,1.0,41.54,41.54,159.99,159.99,0.0
prod_937bca8189695718,lenta,"Гель для душа SOKOLOV Dark Cherry&Almond , 400мл",косметика,уход за телом,0.681,4.0,1,1,0.08,1.0,41.54,41.54,159.99,159.99,0.0
prod_63824390026c58c5,magnit,"Скраб для тела Synergetic Цветущий инжир и лотос, 300 мл",косметика,уход за телом,0.662,8.0,1,1,0.08,1.0,22.4,22.4,387.99,387.99,0.0
prod_28af3758572fbd36,magnit,"Скраб для тела Synergetic Эластичность и сияние кожи, сандал и ягоды можжевельника, 300 мл",косметика,уход за телом,0.662,8.0,1,1,0.08,1.0,22.4,22.4,387.99,387.99,0.0
prod_9cc6e469f8f36c55,holodilnik,Стиральная машина LG F2V3GS3W,электроника,бытовая техника,0.66,6.0,1,1,0.07,1.0,17.12,17.12,53783.0,53783.0,0.0
