shop,weekday,weekday_name,days_observed,promo_starts,starts_per_day,active_per_day,starts_share,lift,reliable
ALL,0,Пн,0.0,0.0,,0.0,0.0099,0.0693,False
ALL,1,Вт,0.0,0.0,,0.0,0.0099,0.0693,False
ALL,2,Ср,0.0,0.0,,0.0,0.0099,0.0693,False
ALL,3,Чт,1.0,94.0,94.0,94.0,0.9406,6.5842,False
ALL,4,Пт,0.0,0.0,,0.0,0.0099,0.0693,False
ALL,5,Сб,0.0,0.0,,0.0,0.0099,0.0693,False
ALL,6,Вс,0.0,0.0,,0.0,0.0099,0.0693,False
holodilnik,0,Пн,0.0,0.0,,0.0,0.0435,0.3043,False
holodilnik,1,Вт,0.0,0.0,,0.0,0.0435,0.3043,False
holodilnik,2,Ср,0.0,0.0,,0.0,0.0435,0.3043,False
holodilnik,3,Чт,1.0,16.0,16.0,16.0,0.7391,5.1739,False
holodilnik,4,Пт,0.0,0.0,,0.0,0.0435,0.3043,False
holodilnik,5,Сб,0.0,0.0,,0.0,0.0435,0.3043,False
holodilnik,6,Вс,0.0,0.0,,0.0,0.0435,0.3043,False
iledebeaute,0,Пн,0.0,0.0,,0.0,0.0455,0.3182,False
iledebeaute,1,Вт,0.0,0.0,,0.0,0.0455,0.3182,False
iledebeaute,2,Ср,0.0,0.0,,0.0,0.0455,0.3182,False
iledebeaute,3,Чт,1.0,15.0,15.0,15.0,0.7273,5.0909,False
iledebeaute,4,Пт,0.0,0.0,,0.0,0.0455,0.3182,False
iledebeaute,5,Сб,0.0,0.0,,0.0,0.0455,0.3182,False
iledebeaute,6,Вс,0.0,0.0,,0.0,0.0455,0.3182,False
lenta,0,Пн,0.0,0.0,,0.0,0.05,0.35,False
lenta,1,Вт,0.0,0.0,,0.0,0.05,0.35,False
lenta,2,Ср,0.0,0.0,,0.0,0.05,0.35,False
lenta,3,Чт,1.0,13.0,13.0,13.0,0.7,4.9,False
lenta,4,Пт,0.0,0.0,,0.0,0.05,0.35,False
lenta,5,Сб,0.0,0.0,,0.0,0.05,0.35,False
lenta,6,Вс,0.0,0.0,,0.0,0.05,0.35,False
magnit,0,Пн,0.0,0.0,,0.0,0.0476,0.3333,False
magnit,1,Вт,0.0,0.0,,0.0,0.0476,0.3333,False
magnit,2,Ср,0.0,0.0,,0.0,0.0476,0.3333,False
magnit,3,Чт,1.0,14.0,14.0,14.0,0.7143,5.0,False
magnit,4,Пт,0.0,0.0,,0.0,0.0476,0.3333,False
magnit,5,Сб,0.0,0.0,,0.0,0.0476,0.3333,False
magnit,6,Вс,0.0,0.0,,0.0,0.0476,0.3333,False
mvideo,0,Пн,0.0,0.0,,0.0,0.0385,0.2692,False
mvideo,1,Вт,0.0,0.0,,0.0,0.0385,0.2692,False
mvideo,2,Ср,0.0,0.0,,0.0,0.0385,0.2692,False
mvideo,3,Чт,1.0,19.0,19.0,19.0,0.7692,5.3846,False
mvideo,4,Пт,0.0,0.0,,0.0,0.0385,0.2692,False
mvideo,5,Сб,0.0,0.0,,0.0,0.0385,0.2692,False
mvideo,6,Вс,0.0,0.0,,0.0,0.0385,0.2692,False
podruzhka,0,Пн,0.0,0.0,,0.0,0.0417,0.2917,False
podruzhka,1,Вт,0.0,0.0,,0.0,0.0417,0.2917,False
podruzhka,2,Ср,0.0,0.0,,0.0,0.0417,0.2917,False
podruzhka,3,Чт,1.0,17.0,17.0,17.0,0.75,5.25,False
podruzhka,4,Пт,0.0,0.0,,0.0,0.0417,0.2917,False
podruzhka,5,Сб,0.0,0.0,,0.0,0.0417,0.2917,False
podruzhka,6,Вс,0.0,0.0,,0.0,0.0417,0.2917,False
